0,ID,UPLINK_MAX_THRP,ROAM_ALLOW_DIALUP,APN,SYSTEM_MODE,SIM_STATUS,SERVICE_STATUS,ROAM_STATUS,UPSTREAM_MAX_RATE,DEVICE_ID,BANDWIDTH,TAC,PROTOCOL,SIGNAL_QUALITY,SERVICE_DOMAIN,RSRP,SINR,RSSI,RSRQ,SYS_SUB_MODE,TIMESTAMP,OperatorName,PLMN,NetworkMode,ConnectedBand,DLFrequency,ULFrequency,CellID,PCI,BEST_CHANNEL,CREATED_DATE
1,1.1259E+15,400961Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28013757,DL:20000 UL:20000,41921,,41,CS_PS_Capable,-100dBm,6dB,-81dBm,-11.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,103040279,230,,22-06-2026 13:33
2,1.1259E+15,81937Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S23C29004550,DL:20000 UL:20000,41320,,35,CS_PS_Capable,-106dBm,13dB,-77dBm,-7.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26250,26250,110903605,6,,22-06-2026 13:33
3,1.1259E+15,298931Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT22C08004062,DL:20000 UL:20000,41926,,53,CS_PS_Capable,-88dBm,-2dB,-70dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,,,,22-06-2026 13:33
4,1.1259E+15,144948Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28000678,DL:20000 UL:20000,31901,,61,CS_PS_Capable,-80dBm,12dB,-64dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110517516,16,,22-06-2026 13:33
5,1.1259E+15,239079Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24202005150,DL:20000 UL:20000,45021,,65,CS_PS_Capable,-76dBm,-11dB,-54dBm,-14.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,111785740,81,,22-06-2026 13:33
6,1.1259E+15,915185Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925004127,DL:20000 UL:20000,31301,,72,CS_PS_Capable,-69dBm,18dB,-45dBm,-4.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110362892,113,,22-06-2026 13:33
7,1.1259E+15,123747Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04015132,DL:20000 UL:20000,21305,,57,CS_PS_Capable,-84dBm,5dB,-63dBm,-12.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110693644,230,,22-06-2026 13:33
8,1.1259E+15,190733Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113010557,DL:20000 UL:20000,41901,,56,CS_PS_Capable,-85dBm,18dB,-57dBm,-7.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26050,26050,110499113,111,,22-06-2026 13:33
9,1.1259E+15,673246Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K25607006510,DL:20000 UL:20000,41301,,42,CS_PS_Capable,-99dBm,9dB,-72dBm,-6.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,112082197,28,,22-06-2026 13:33
10,1.1259E+15,32005Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24208000779,DL:20000 UL:20000,31303,,61,CS_PS_Capable,-80dBm,10dB,-51dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110509590,428,,22-06-2026 13:33
11,1.1259E+15,68854Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24C26000510,DL:20000 UL:20000,41325,,34,CS_PS_Capable,-107dBm,-6dB,-72dBm,-14.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110912789,387,,22-06-2026 13:33
12,1.1259E+15,2972272Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04012078,DL:20000 UL:20000,11301,,62,CS_PS_Capable,-79dBm,8dB,-50dBm,-7.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,112494869,31,,22-06-2026 13:33
13,1.1259E+15,113326Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28004105,DL:20000 UL:20000,21301,,49,CS_PS_Capable,-92dBm,-2dB,-57dBm,-15.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,112382998,89,,22-06-2026 13:33
14,1.1259E+15,169217Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24202006610,DL:15000 UL:15000,45023,,45,CS_PS_Capable,-96dBm,-4dB,-64dBm,-13.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21625,19725,110205462,36,,22-06-2026 13:33
15,1.1259E+15,178470Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT22C08004015,DL:20000 UL:20000,45203,,36,CS_PS_Capable,-105dBm,6dB,-90dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,,,,22-06-2026 13:33
16,1.1259E+15,736962Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925004732,DL:20000 UL:20000,41922,,41,CS_PS_Capable,-100dBm,7dB,-82dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,103066646,214,,22-06-2026 13:33
